ID,Answer
12537,3
22537,4
32537,3
42537,1
52537,2
62537,3
72537,1
82537,2
92537,2
102537,1
112537,2
122537,4
132537,3
142537,1
152537,2
162537,1
172537,2
182537,3
192537,3
202537,2
212537,3
222537,3
232537,4
242537,4
252537,3
262537,3
272537,3
282537,1
292537,2
302537,4
312537,3
322537,3
332537,4
342537,3
352537,2
362537,2
372537,3
382537,1
392537,3
402537,3
412537,1
422537,3
432537,4
442537,3
452537,2
462537,2
472537,4
482537,3
492537,1
502537,3
512537,2
522537,2
532537,1
542537,1
552537,1
562537,2
572537,2
582537,1
592537,2
602537,3
612537,4
622537,4
632537,4
642537,3
652537,3
662537,3
672537,4
682537,1
692537,2
702537,3
712537,2
722537,2
732537,1
742537,1
752537,4
762537,3
772537,2
782537,3
792537,3
802537,2
812537,4
822537,1
832537,1
842537,4
852537,4
862537,2
872537,4
882537,1
892537,4
902537,2
912537,2
922537,4
932537,1
942537,1
952537,3
962537,2
972537,1
982537,4
992537,4
1002537,2
1012537,4
1022537,3
1032537,1
1042537,1
1052537,4
1062537,3
1072537,1
1082537,2
1092537,4
1102537,2
1112537,1
1122537,1
1132537,4
1142537,4
1152537,3
1162537,4
1172537,2
1182537,2
1192537,4
1202537,3
1212537,1
1222537,2
1232537,2
1242537,1
1252537,3
1262537,4
1272537,3
1282537,3
1292537,4
1302537,1
1312537,4
1322537,2
1332537,1
1342537,1
1352537,4
1362537,3
1372537,1
1382537,4
1392537,3
1402537,1
1412537,1
1422537,3
1432537,2
1442537,3
1452537,4
1462537,2
1472537,3
1482537,2
1492537,4
1502537,2
1512537,3
1522537,1
1532537,2
1542537,4
1552537,3
1562537,2
1572537,1
1582537,3
1592537,4
1602537,2
1612537,3
1622537,4
1632537,2
1642537,2
1652537,1
1662537,3
1672537,3
1682537,3
1692537,3
1702537,1
1712537,1
1722537,2
1732537,2
1742537,3
1752537,2
1762537,3
1772537,2
1782537,4
1792537,4
1802537,4
1812537,1
1822537,4
1832537,1
1842537,2
1852537,3
1862537,3
1872537,2
1882537,4
1892537,1
1902537,4
1912537,2
1922537,1
1932537,2
1942537,1
1952537,3
1962537,4
1972537,3
1982537,2
1992537,2
2002537,3
2012537,3
2022537,4
2032537,3
2042537,3
2052537,3
2062537,4
2072537,2
2082537,2
2092537,2
2102537,1
2112537,3
2122537,3
2132537,4
2142537,3
2152537,3
2162537,1
2172537,3
2182537,3
2192537,2
2202537,3
2212537,2
2222537,3
2232537,4
2242537,1
2252537,1
2262537,2
2272537,4
2282537,2
2292537,1
2302537,2
2312537,2
2322537,1
2332537,2
2342537,3
2352537,1
2362537,4
2372537,3
2382537,3
2392537,4
2402537,1
2412537,3
2422537,2
2432537,3
2442537,3
2452537,4
2462537,2
2472537,1
2482537,1
2492537,4
2502537,4
2512537,1
2522537,1
2532537,2
2542537,1
2552537,1
2562537,3
2572537,2
2582537,4
2592537,2
2602537,4
2612537,4
2622537,1
2632537,2
2642537,2
2652537,2
2662537,1
2672537,3
2682537,1
2692537,1
2702537,2
2712537,4
2722537,3
2732537,4
2742537,2
2752537,2
2762537,3
2772537,3
2782537,4
2792537,3
2802537,1
2812537,2
2822537,4
2832537,1
2842537,4
2852537,2
2862537,4
2872537,2
2882537,1
2892537,1
2902537,3
2912537,1
2922537,3
2932537,3
2942537,1
2952537,4
2962537,3
2972537,2
2982537,1
2992537,3
3002537,3
3012537,2
3022537,2
3032537,3
3042537,4
3052537,2
3062537,1
3072537,1
3082537,2
3092537,2
3102537,2
3112537,1
3122537,2
3132537,4
3142537,2
3152537,4
3162537,2
3172537,3
3182537,1
3192537,4
3202537,1
3212537,1
3222537,2
3232537,2
3242537,1
3252537,2
3262537,1
3272537,4
3282537,3
3292537,3
3302537,2
3312537,3
3322537,1
3332537,3
3342537,1
3352537,1
3362537,2
3372537,2
3382537,1
3392537,3
3402537,4
3412537,2
3422537,2
3432537,4
3442537,2
3452537,1
3462537,4
3472537,1
3482537,2
3492537,1
3502537,2
3512537,3
3522537,2
3532537,2
3542537,3
3552537,4
3562537,2
3572537,2
3582537,4
3592537,4
3602537,2
3612537,1
3622537,3
3632537,1
3642537,2
3652537,4
3662537,1
3672537,1
3682537,1
3692537,3
3702537,1
3712537,1
3722537,3
3732537,1
3742537,4
3752537,3
3762537,2
3772537,2
3782537,1
3792537,4
3802537,2
3812537,2
3822537,1
3832537,3
3842537,4
3852537,4
3862537,1
3872537,4
3882537,4
3892537,1
3902537,3
3912537,3
3922537,1
3932537,3
3942537,1
3952537,1
3962537,4
3972537,4
3982537,2
3992537,3
4002537,4
4012537,1
4022537,1
4032537,4
4042537,3
4052537,3
4062537,2
4072537,3
4082537,4
4092537,3
4102537,3
4112537,2
4122537,3
4132537,4
4142537,2
4152537,2
4162537,3
4172537,4
4182537,1
4192537,1
4202537,3
4212537,2
4222537,4
4232537,1
4242537,4
4252537,1
4262537,1
4272537,3
4282537,3
4292537,3
4302537,3
4312537,3
4322537,2
4332537,3
4342537,2
4352537,3
4362537,1
4372537,4
4382537,3
4392537,2
4402537,3
4412537,2
4422537,3
4432537,1
4442537,2
4452537,2
4462537,3
4472537,3
4482537,2
4492537,1
4502537,3
4512537,2
4522537,3
4532537,2
4542537,2
4552537,2
4562537,2
4572537,2
4582537,2
4592537,2
4602537,2
4612537,4
4622537,3
4632537,3
4642537,1
4652537,1
4662537,3
4672537,3
4682537,4
4692537,2
4702537,2
4712537,4
4722537,1
4732537,1
4742537,1
4752537,3
4762537,4
4772537,4
4782537,2
4792537,3
4802537,1
4812537,2
4822537,2
4832537,4
4842537,3
4852537,4
4862537,2
4872537,1
4882537,3
4892537,1
4902537,3
4912537,3
4922537,1
4932537,4
4942537,1
4952537,4
4962537,2
4972537,2
4982537,3
4992537,4
5002537,3
5012537,1
5022537,3
5032537,3
5042537,2
5052537,2
5062537,1
5072537,1
5082537,3
5092537,1
5102537,3
5112537,2
5122537,2
5132537,1
5142537,1
5152537,2
5162537,3
5172537,4
5182537,2
5192537,3
5202537,3
5212537,4
5222537,2
5232537,2
5242537,1
5252537,4
5262537,2
5272537,1
5282537,2
5292537,1
5302537,3
5312537,1
5322537,2
5332537,4
5342537,3
5352537,3
5362537,3
5372537,4
5382537,4
5392537,3
5402537,3
5412537,1
5422537,4
5432537,3
5442537,2
5452537,1
5462537,4
5472537,1
5482537,2
5492537,2
5502537,1
5512537,4
5522537,3
5532537,1
5542537,3
5552537,1
5562537,3
5572537,4
5582537,1
5592537,1
5602537,4
5612537,2
5622537,1
5632537,4
5642537,2
5652537,2
5662537,2
5672537,1
5682537,4
5692537,1
5702537,1
5712537,2
5722537,1
5732537,1
5742537,2
5752537,4
5762537,3
5772537,1
5782537,2
5792537,4
5802537,3
5812537,2
5822537,2
5832537,3
5842537,2
5852537,2
5862537,4
5872537,4
5882537,3
5892537,3
5902537,3
5912537,1
5922537,4
5932537,2
5942537,1
5952537,4
5962537,1
5972537,1
5982537,3
5992537,4
6002537,3
6012537,3
6022537,3
6032537,1
6042537,2
6052537,1
6062537,3
6072537,1
6082537,3
6092537,4
6102537,3
6112537,3
6122537,2
6132537,1
6142537,3
6152537,1
6162537,3
6172537,2
6182537,1
6192537,1
6202537,4
6212537,2
6222537,1
6232537,4
6242537,3
6252537,1
6262537,3
6272537,2
6282537,3
6292537,2
6302537,4
6312537,4
6322537,1
6332537,1
6342537,4
6352537,1
6362537,3
6372537,3
6382537,1
6392537,1
6402537,2
6412537,1
6422537,4
6432537,4
6442537,1
6452537,1
6462537,3
6472537,3
6482537,3
6492537,2
6502537,2
6512537,1
6522537,3
6532537,4
6542537,3
6552537,2
6562537,4
6572537,1
6582537,3
6592537,4
6602537,2
6612537,1
6622537,3
6632537,1
6642537,3
6652537,3
6662537,3
6672537,1
6682537,2
6692537,2
6702537,3
6712537,4
6722537,1
6732537,2
6742537,4
6752537,2
6762537,4
6772537,3
6782537,3
6792537,3
6802537,1
6812537,3
6822537,2
6832537,3
6842537,1
6852537,3
6862537,1
6872537,2
6882537,4
6892537,3
6902537,1
6912537,3
6922537,3
6932537,2
6942537,3
6952537,4
6962537,4
6972537,3
6982537,4
6992537,3
7002537,2
7012537,4
7022537,2
7032537,1
7042537,4
7052537,1
7062537,2
7072537,2
7082537,2
7092537,2
7102537,1
7112537,1
7122537,4
7132537,3
7142537,3
7152537,3
7162537,3
7172537,2
7182537,4
7192537,4
7202537,2
7212537,2
7222537,2
7232537,1
7242537,1
7252537,3
7262537,3
7272537,3
7282537,4
7292537,2
7302537,1
7312537,1
7322537,4
7332537,3
7342537,2
7352537,3
7362537,1
7372537,4
7382537,3
7392537,1
7402537,3
7412537,4
7422537,3
7432537,3
7442537,3
7452537,4
7462537,1
