ID,Answer
12537,4
22537,4
32537,1
42537,1
52537,3
62537,3
72537,1
82537,4
92537,2
102537,1
112537,1
122537,4
132537,1
142537,4
152537,2
162537,3
172537,2
182537,3
192537,3
202537,2
212537,3
222537,3
232537,4
242537,3
252537,4
262537,2
272537,4
282537,1
292537,2
302537,3
312537,3
322537,2
332537,2
342537,3
352537,2
362537,1
372537,2
382537,1
392537,3
402537,3
412537,4
422537,2
432537,2
442537,3
452537,1
462537,2
472537,2
482537,2
492537,1
502537,4
512537,4
522537,2
532537,4
542537,1
552537,3
562537,4
572537,2
582537,4
592537,3
602537,3
612537,3
622537,1
632537,4
642537,3
652537,4
662537,3
672537,4
682537,1
692537,2
702537,2
712537,2
722537,3
732537,1
742537,1
752537,4
762537,3
772537,2
782537,1
792537,3
802537,3
812537,4
822537,1
832537,1
842537,4
852537,4
862537,3
872537,1
882537,4
892537,4
902537,3
912537,4
922537,4
932537,2
942537,4
952537,3
962537,1
972537,2
982537,3
992537,2
1002537,2
1012537,1
1022537,3
1032537,4
1042537,3
1052537,4
1062537,4
1072537,1
1082537,2
1092537,4
1102537,2
1112537,1
1122537,3
1132537,4
1142537,4
1152537,2
1162537,2
1172537,2
1182537,3
1192537,4
1202537,3
1212537,1
1222537,2
1232537,3
1242537,3
1252537,3
1262537,2
1272537,3
1282537,4
1292537,1
1302537,1
1312537,4
1322537,3
1332537,4
1342537,2
1352537,1
1362537,4
1372537,1
1382537,4
1392537,4
1402537,4
1412537,1
1422537,4
1432537,2
1442537,4
1452537,4
1462537,2
1472537,1
1482537,2
1492537,4
1502537,2
1512537,3
1522537,3
1532537,2
1542537,4
1552537,3
1562537,2
1572537,1
1582537,3
1592537,4
1602537,3
1612537,4
1622537,4
1632537,1
1642537,4
1652537,4
1662537,3
1672537,3
1682537,4
1692537,3
1702537,4
1712537,1
1722537,1
1732537,1
1742537,3
1752537,2
1762537,3
1772537,3
1782537,1
1792537,3
1802537,1
1812537,1
1822537,4
1832537,4
1842537,1
1852537,3
1862537,3
1872537,3
1882537,3
1892537,4
1902537,4
1912537,2
1922537,1
1932537,2
1942537,4
1952537,4
1962537,4
1972537,3
1982537,1
1992537,2
2002537,2
2012537,4
2022537,4
2032537,4
2042537,3
2052537,4
2062537,3
2072537,3
2082537,2
2092537,1
2102537,2
2112537,3
2122537,3
2132537,4
2142537,3
2152537,3
2162537,3
2172537,3
2182537,3
2192537,4
2202537,3
2212537,2
2222537,3
2232537,3
2242537,3
2252537,3
2262537,4
2272537,4
2282537,1
2292537,1
2302537,1
2312537,1
2322537,2
2332537,2
2342537,4
2352537,3
2362537,4
2372537,4
2382537,4
2392537,4
2402537,1
2412537,4
