ID,Answer
12537,4
22537,4
32537,4
42537,1
52537,4
62537,3
72537,1
82537,1
92537,4
102537,1
112537,1
122537,4
132537,1
142537,4
152537,1
162537,3
172537,2
182537,3
192537,4
202537,1
212537,4
222537,4
232537,4
242537,4
252537,1
262537,4
272537,1
282537,1
292537,4
302537,4
312537,4
322537,1
332537,1
342537,1
352537,4
362537,1
372537,4
382537,1
392537,3
402537,3
412537,4
422537,3
432537,4
442537,3
452537,1
462537,4
472537,1
482537,2
492537,4
502537,1
512537,1
522537,4
532537,4
542537,4
552537,4
562537,4
572537,1
582537,1
592537,1
602537,4
612537,1
622537,1
632537,4
642537,4
652537,4
662537,4
672537,4
682537,1
692537,4
702537,4
712537,4
722537,1
732537,1
742537,4
752537,1
762537,4
772537,4
782537,4
792537,4
802537,4
812537,4
822537,1
832537,4
842537,4
852537,4
862537,3
872537,1
882537,4
892537,4
902537,4
912537,1
922537,3
932537,1
942537,4
952537,1
962537,2
972537,2
982537,4
992537,4
1002537,2
1012537,1
1022537,4
1032537,1
1042537,4
1052537,4
1062537,4
1072537,1
1082537,1
1092537,4
1102537,4
1112537,1
1122537,1
1132537,4
1142537,4
1152537,2
1162537,4
1172537,1
1182537,1
1192537,4
1202537,4
1212537,4
1222537,4
1232537,4
1242537,4
1252537,4
1262537,4
1272537,1
1282537,4
1292537,4
1302537,1
1312537,1
1322537,1
1332537,4
1342537,4
1352537,1
1362537,4
1372537,1
1382537,2
1392537,4
1402537,4
1412537,4
1422537,4
1432537,4
1442537,4
1452537,4
1462537,2
1472537,1
1482537,2
1492537,1
1502537,2
1512537,4
1522537,4
1532537,4
1542537,4
1552537,4
1562537,4
1572537,4
1582537,4
1592537,4
1602537,4
1612537,2
1622537,4
1632537,1
1642537,1
1652537,1
1662537,4
1672537,4
1682537,4
1692537,2
1702537,4
1712537,4
1722537,1
1732537,1
1742537,4
1752537,1
1762537,3
1772537,4
1782537,1
1792537,4
1802537,4
1812537,4
1822537,4
1832537,1
1842537,4
1852537,4
1862537,1
1872537,1
1882537,4
1892537,4
1902537,4
1912537,1
1922537,4
1932537,1
1942537,4
1952537,4
1962537,4
1972537,4
1982537,1
1992537,1
2002537,4
2012537,4
2022537,1
2032537,4
2042537,1
2052537,3
2062537,4
2072537,2
2082537,4
2092537,4
2102537,4
2112537,4
2122537,4
2132537,1
2142537,3
2152537,1
2162537,1
2172537,3
2182537,4
2192537,4
2202537,4
2212537,4
2222537,4
2232537,4
2242537,1
2252537,4
2262537,3
2272537,4
2282537,4
2292537,4
2302537,1
2312537,4
2322537,1
2332537,4
2342537,4
2352537,1
2362537,4
2372537,4
2382537,4
2392537,1
2402537,4
2412537,1
